node_1|node_2|edge|chunk_id
mr. dursley|owls|Mr. Dursley didn’t see the owls swooping past in broad daylight, though people down in the street did. He was so engrossed in his work that he didn’t notice the owls flying overhead.|aa329ec9274541b796d0498287930a2e
mr. dursley|people down in the street|People down in the street saw the owls swooping past in broad daylight and pointed and gazed open-mouthed as owl after owl sped overhead.|aa329ec9274541b796d0498287930a2e
mr. dursley|group of people in cloaks|Mr. Dursley eyed the group of people in cloaks angrily as he passed them. He didn’t know why, but they made him uneasy.|aa329ec9274541b796d0498287930a2e
group of people in cloaks|the potters|The group of people in cloaks were whispering excitedly about the Potters and their son, Harry.|aa329ec9274541b796d0498287930a2e
group of people in cloaks|harry|The group of people in cloaks were whispering excitedly about the Potters and their son, Harry.|aa329ec9274541b796d0498287930a2e
mr. dursley|fear|Mr. Dursley was flooded with fear when he saw the whisperers.|36f9655fac4d4f1492c21d73fc1e04df
mr. dursley|fear|Mr. Dursley thought better of it and didn’t want to mention the whisperers to fear.|36f9655fac4d4f1492c21d73fc1e04df
mr. dursley|his nephew|Mr. Dursley was worried about his nephew, but he wasn’t sure of his name.|36f9655fac4d4f1492c21d73fc1e04df
mr. dursley|his sister|Mr. Dursley didn’t want to upset his sister by mentioning her sister.|36f9655fac4d4f1492c21d73fc1e04df
mr. dursley|people in cloaks|Mr. Dursley was worried about the people in cloaks.|36f9655fac4d4f1492c21d73fc1e04df
fear|upset|Mr. Dursley didn’t want to upset his sister with fear.|36f9655fac4d4f1492c21d73fc1e04df
mr. dursley|concentration|Mr. Dursley found it hard to concentrate on drills because of his worry.|36f9655fac4d4f1492c21d73fc1e04df
mr. dursley|stranger|Mr. Dursley was hugged by the stranger|4e0363abf24546f798d691f4ddc0d438
stranger|you-know-who|The stranger mentioned You-Know-Who and was happy about his departure|4e0363abf24546f798d691f4ddc0d438
stranger|muggle|The stranger called Mr. Dursley a Muggle|4e0363abf24546f798d691f4ddc0d438
mr. dursley|cat|Mr. Dursley saw the cat on his garden wall twice|4e0363abf24546f798d691f4ddc0d438
mr. dursley|harry potter|Mr. Dursley has negative opinion about Harry Potter and his family.|83ee2e3fee4145c9a906a88a8e0784e6
mr. dursley|the potters|Mr. Dursley has negative opinion about The Potters and their kind.|83ee2e3fee4145c9a906a88a8e0784e6
the cat|the potters|The cat is waiting for something related to The Potters.|83ee2e3fee4145c9a906a88a8e0784e6
